Entry,Entry name,Protein names,Gene names,Organism,Cross-reference (DrugBank)
Q15561,TEAD4_HUMAN,Transcriptional enhancer factor TEF-3 (TEA domain family member 4) (TEAD-4) (Transcription factor 13-like 1) (Transcription factor RTEF-1),TEAD4 RTEF1 TCF13L1 TEF3,Homo sapiens (Human),
Q53GI4,Q53GI4_HUMAN,TEA domain family member 4 isoform 1 variant (Transcriptional enhancer factor TEF-3) (Fragment),TEAD4,Homo sapiens (Human),
B1AL05,B1AL05_HUMAN,"39S ribosomal protein L43, mitochondrial",MRPL43,Homo sapiens (Human),
H0Y6Y8,H0Y6Y8_HUMAN,"39S ribosomal protein L43, mitochondrial (Fragment)",MRPL43,Homo sapiens (Human),
H0YBU8,H0YBU8_HUMAN,"39S ribosomal protein L43, mitochondrial (Fragment)",MRPL43,Homo sapiens (Human),
M0R051,M0R051_HUMAN,"39S ribosomal protein L43, mitochondrial",MRPL43,Homo sapiens (Human),
Q86XN0,Q86XN0_HUMAN,MRPL43 protein (Fragment),MRPL43,Homo sapiens (Human),
Q8N983,RM43_HUMAN,"39S ribosomal protein L43, mitochondrial (L43mt) (MRP-L43) (Mitochondrial large ribosomal subunit protein mL43) (Mitochondrial ribosomal protein bMRP36a)",MRPL43,Homo sapiens (Human),
B8ZZQ4,B8ZZQ4_HUMAN,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial (Fragment)",PTCD3,Homo sapiens (Human),
F8WBP9,F8WBP9_HUMAN,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial",PTCD3,Homo sapiens (Human),
F8WE76,F8WE76_HUMAN,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial",PTCD3,Homo sapiens (Human),
Q96EY7,PTCD3_HUMAN,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial (28S ribosomal protein S39, mitochondrial) (MRP-S39) (Mitochondrial small ribosomal subunit protein mS39) (Transformation-related gene 15 protein) (TRG-15)",PTCD3 MRPS39 TRG15,Homo sapiens (Human),
C9J2U0,C9J2U0_HUMAN,Cyclin E variant ex7del (G1/S-specific cyclin-E1),CCNE1,Homo sapiens (Human),
F6KX26,F6KX26_HUMAN,Cyclin E1 (Fragment),CCNE1,Homo sapiens (Human),
I3L1Q9,I3L1Q9_HUMAN,G1/S-specific cyclin-E1 (Fragment),CCNE1,Homo sapiens (Human),
I3L413,I3L413_HUMAN,G1/S-specific cyclin-E1 (Fragment),CCNE1,Homo sapiens (Human),
P24864,CCNE1_HUMAN,G1/S-specific cyclin-E1,CCNE1 CCNE,Homo sapiens (Human),
V5W5X2,V5W5X2_HUMAN,Cyclin E variant ex5del,CCNE1,Homo sapiens (Human),
L8E861,L8E861_HUMAN,Alternative protein NUP205,NUP205,Homo sapiens (Human),
Q4VBX7,Q4VBX7_HUMAN,NUP205 protein (Fragment),NUP205,Homo sapiens (Human),
Q6DKH1,Q6DKH1_HUMAN,NUP205 protein (Fragment),NUP205,Homo sapiens (Human),
Q6P486,Q6P486_HUMAN,NUP205 protein (Fragment),NUP205,Homo sapiens (Human),
Q92621,NU205_HUMAN,Nuclear pore complex protein Nup205 (205 kDa nucleoporin) (Nucleoporin Nup205),NUP205 C7orf14 KIAA0225,Homo sapiens (Human),
U3KPX2,U3KPX2_HUMAN,Nuclear pore complex protein Nup205 (Fragment),NUP205,Homo sapiens (Human),
U3KQ47,U3KQ47_HUMAN,Nuclear pore complex protein Nup205 (Fragment),NUP205,Homo sapiens (Human),
U3KQ97,U3KQ97_HUMAN,Nuclear pore complex protein Nup205 (Fragment),NUP205,Homo sapiens (Human),
U3KQH5,U3KQH5_HUMAN,Nuclear pore complex protein Nup205 (Fragment),NUP205,Homo sapiens (Human),
K7EQT1,K7EQT1_HUMAN,Fizzy-related protein homolog,FZR1,Homo sapiens (Human),
Q9UM11,FZR1_HUMAN,Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1),FZR1 CDH1 FYR FZR KIAA1242,Homo sapiens (Human),
E9PR16,E9PR16_HUMAN,Nuclear pore complex protein Nup160 (Fragment),NUP160,Homo sapiens (Human),
E9PSI3,E9PSI3_HUMAN,Nuclear pore complex protein Nup160 (Fragment),NUP160,Homo sapiens (Human),
G3V198,G3V198_HUMAN,Nuclear pore complex protein Nup160 (Fragment),NUP160,Homo sapiens (Human),
Q12769,NU160_HUMAN,Nuclear pore complex protein Nup160 (160 kDa nucleoporin) (Nucleoporin Nup160),NUP160 KIAA0197 NUP120,Homo sapiens (Human),
A0A0B4J1Z1,A0A0B4J1Z1_HUMAN,"Serine/arginine-rich-splicing factor 7 (Splicing factor, arginine/serine-rich 7, 35kDa, isoform CRA_a)",SRSF7 SFRS7 hCG_15878,Homo sapiens (Human),
C9JAB2,C9JAB2_HUMAN,Serine/arginine-rich-splicing factor 7,SRSF7,Homo sapiens (Human),
F8WEA1,F8WEA1_HUMAN,Serine/arginine-rich-splicing factor 7,SRSF7,Homo sapiens (Human),
H7BZZ6,H7BZZ6_HUMAN,Serine/arginine-rich-splicing factor 7 (Fragment),SRSF7,Homo sapiens (Human),
H7C1N1,H7C1N1_HUMAN,Serine/arginine-rich-splicing factor 7 (Fragment),SRSF7,Homo sapiens (Human),
Q16629,SRSF7_HUMAN,"Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)",SRSF7 SFRS7,Homo sapiens (Human),
E7ESR8,E7ESR8_HUMAN,Mastermind-like protein 3,MAML3,Homo sapiens (Human),
H0Y920,H0Y920_HUMAN,Mastermind-like protein 3 (Fragment),MAML3,Homo sapiens (Human),
Q96JK9,MAML3_HUMAN,Mastermind-like protein 3 (Mam-3),MAML3 KIAA1816,Homo sapiens (Human),
D6R9S6,D6R9S6_HUMAN,Rapamycin-insensitive companion of mTOR (Fragment),RICTOR,Homo sapiens (Human),
Q6R327,RICTR_HUMAN,Rapamycin-insensitive companion of mTOR (AVO3 homolog) (hAVO3),RICTOR KIAA1999,Homo sapiens (Human),
Q8N6M7,Q8N6M7_HUMAN,RICTOR protein,RICTOR,Homo sapiens (Human),
E5RFM0,E5RFM0_HUMAN,Tyrosine-protein kinase Fyn (Fragment),FYN,Homo sapiens (Human),
E5RFM4,E5RFM4_HUMAN,Tyrosine-protein kinase Fyn (Fragment),FYN,Homo sapiens (Human),
E5RFM6,E5RFM6_HUMAN,Tyrosine-protein kinase Fyn (Fragment),FYN,Homo sapiens (Human),
E5RFS5,E5RFS5_HUMAN,Tyrosine-protein kinase Fyn (Fragment),FYN,Homo sapiens (Human),
E5RGM6,E5RGM6_HUMAN,Tyrosine-protein kinase Fyn (Fragment),FYN,Homo sapiens (Human),
E5RGT0,E5RGT0_HUMAN,Tyrosine-protein kinase Fyn (Fragment),FYN,Homo sapiens (Human),
E5RH71,E5RH71_HUMAN,Tyrosine-protein kinase Fyn (Fragment),FYN,Homo sapiens (Human),
E5RHF7,E5RHF7_HUMAN,Tyrosine-protein kinase Fyn (Fragment),FYN,Homo sapiens (Human),
E5RHX7,E5RHX7_HUMAN,Tyrosine-protein kinase Fyn (Fragment),FYN,Homo sapiens (Human),
E5RI25,E5RI25_HUMAN,Tyrosine-protein kinase Fyn (Fragment),FYN,Homo sapiens (Human),
E5RIX5,E5RIX5_HUMAN,Tyrosine-protein kinase Fyn (Fragment),FYN,Homo sapiens (Human),
E5RJX7,E5RJX7_HUMAN,Tyrosine-protein kinase Fyn (Fragment),FYN,Homo sapiens (Human),
E5RK23,E5RK23_HUMAN,Tyrosine-protein kinase Fyn (Fragment),FYN,Homo sapiens (Human),
P06241,FYN_HUMAN,Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn),FYN,Homo sapiens (Human),DB02078;DB01254;
P78484,P78484_HUMAN,FYN protein (Fragment),FYN,Homo sapiens (Human),
Q14342,Q14342_HUMAN,FYN protein (Fragment),FYN,Homo sapiens (Human),
A0A024RBG3,A0A024RBG3_HUMAN,"Mitochondrial ribosomal protein L42, isoform CRA_b",MRPL42 hCG_1647154,Homo sapiens (Human),
F8VVR0,F8VVR0_HUMAN,"39S ribosomal protein L42, mitochondrial",MRPL42,Homo sapiens (Human),
J3KP21,J3KP21_HUMAN,"39S ribosomal protein L42, mitochondrial",MRPL42,Homo sapiens (Human),
J3KPP0,J3KPP0_HUMAN,"39S ribosomal protein L42, mitochondrial",MRPL42,Homo sapiens (Human),
Q9Y6G3,RM42_HUMAN,"39S ribosomal protein L42, mitochondrial (L42mt) (MRP-L42) (39S ribosomal protein L31, mitochondrial) (L31mt) (MRP-L31) (Mitochondrial large ribosomal subunit protein mL42)",MRPL42 MRPL31 MRPS32 RPML31 HSPC204 PTD007,Homo sapiens (Human),
S4R2Z7,S4R2Z7_HUMAN,"39S ribosomal protein L42, mitochondrial",MRPL42,Homo sapiens (Human),
S4R360,S4R360_HUMAN,"39S ribosomal protein L42, mitochondrial",MRPL42,Homo sapiens (Human),
A0A1B0GW42,A0A1B0GW42_HUMAN,Heterogeneous nuclear ribonucleoprotein F (Fragment),HNRNPF,Homo sapiens (Human),
P52597,HNRPF_HUMAN,"Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]",HNRNPF HNRPF,Homo sapiens (Human),
A0JLT9,A0JLT9_HUMAN,SF3B1 protein (Fragment),SF3B1,Homo sapiens (Human),
A0PJH5,A0PJH5_HUMAN,SF3B1 protein (Fragment),SF3B1,Homo sapiens (Human),
B4DGZ4,B4DGZ4_HUMAN,"cDNA FLJ57368, highly similar to Splicing factor 3B subunit 1",SF3B1,Homo sapiens (Human),
F8WC19,F8WC19_HUMAN,Splicing factor 3B subunit 1,SF3B1,Homo sapiens (Human),
H7C341,H7C341_HUMAN,Splicing factor 3B subunit 1 (Fragment),SF3B1,Homo sapiens (Human),
O75533,SF3B1_HUMAN,Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155),SF3B1 SAP155,Homo sapiens (Human),
Q32Q20,Q32Q20_HUMAN,SF3B1 protein (Fragment),SF3B1,Homo sapiens (Human),
Q7Z497,Q7Z497_HUMAN,SF3B1 protein (Fragment),SF3B1,Homo sapiens (Human),
K7EMT0,K7EMT0_HUMAN,Splicing factor 3A subunit 2 (Fragment),SF3A2,Homo sapiens (Human),
Q05DF2,Q05DF2_HUMAN,SF3A2 protein (Fragment),SF3A2,Homo sapiens (Human),
Q15428,SF3A2_HUMAN,Splicing factor 3A subunit 2 (SF3a66) (Spliceosome-associated protein 62) (SAP 62),SF3A2 SAP62,Homo sapiens (Human),
A0A090N8Q6,A0A090N8Q6_HUMAN,"Protein kinase, AMP-activated, gamma 2 non-catalytic subunit (Protein kinase, AMP-activated, gamma 2 non-catalytic subunit, isoform CRA_a)",PRKAG2 hCG_2043270 tcag7.766,Homo sapiens (Human),
A0A384MDZ2,A0A384MDZ2_HUMAN,"Epididymis secretory sperm binding protein (Protein kinase, AMP-activated, gamma 2 non-catalytic subunit, isoform CRA_b)",PRKAG2 hCG_2043270,Homo sapiens (Human),
C9JUG1,C9JUG1_HUMAN,5'-AMP-activated protein kinase subunit gamma-2 (Fragment),PRKAG2,Homo sapiens (Human),
E9PGP6,E9PGP6_HUMAN,5'-AMP-activated protein kinase subunit gamma-2,PRKAG2,Homo sapiens (Human),
F8WAY3,F8WAY3_HUMAN,5'-AMP-activated protein kinase subunit gamma-2,PRKAG2,Homo sapiens (Human),
F8WDA1,F8WDA1_HUMAN,5'-AMP-activated protein kinase subunit gamma-2,PRKAG2,Homo sapiens (Human),
F8WDB5,F8WDB5_HUMAN,5'-AMP-activated protein kinase subunit gamma-2,PRKAG2,Homo sapiens (Human),
L8E9N3,L8E9N3_HUMAN,Alternative protein PRKAG2,PRKAG2,Homo sapiens (Human),
Q9UGJ0,AAKG2_HUMAN,5'-AMP-activated protein kinase subunit gamma-2 (AMPK gamma2) (AMPK subunit gamma-2) (H91620p),PRKAG2,Homo sapiens (Human),DB00945;
A0A087WY56,A0A087WY56_HUMAN,RAC-alpha serine/threonine-protein kinase (Fragment),AKT1,Homo sapiens (Human),
A0A0S2Z3D6,A0A0S2Z3D6_HUMAN,V-akt murine thymoma viral oncogene-like protein 1 isoform 2,AKT1,Homo sapiens (Human),
A0A142IKA9,A0A142IKA9_HUMAN,Serine-threonine protein kinase (Fragment),AKT1,Homo sapiens (Human),
B0LPE5,B0LPE5_HUMAN,Non-specific serine/threonine protein kinase (EC 2.7.11.1),AKT1 hCG_96740,Homo sapiens (Human),
G3V2I6,G3V2I6_HUMAN,RAC-alpha serine/threonine-protein kinase (Fragment),AKT1,Homo sapiens (Human),
G3V3X1,G3V3X1_HUMAN,RAC-alpha serine/threonine-protein kinase (Fragment),AKT1,Homo sapiens (Human),
G3V4I6,G3V4I6_HUMAN,RAC-alpha serine/threonine-protein kinase (Fragment),AKT1,Homo sapiens (Human),
P31749,AKT1_HUMAN,RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha),AKT1 PKB RAC,Homo sapiens (Human),DB00171;DB01169;
X2CV47,X2CV47_HUMAN,AKT1m transcript variant 3 (Fragment),AKT1,Homo sapiens (Human),
X2CVF3,X2CVF3_HUMAN,AKT1m transcript variant 1 (AKT1m transcript variant 2) (AKT1m transcript variant 4) (Fragment),AKT1,Homo sapiens (Human),
B2R894,B2R894_HUMAN,"Mitochondrial ribosomal protein L38, isoform CRA_b (cDNA, FLJ93795, Homo sapiens mitochondrial ribosomal protein L38 (MRPL38), nucleargene encoding mitochondrial protein, mRNA)",MRPL38 hCG_1776092,Homo sapiens (Human),
Q96DV4,RM38_HUMAN,"39S ribosomal protein L38, mitochondrial (L38mt) (MRP-L38) (Mitochondrial large ribosomal subunit protein mL38)",MRPL38 HSPC262,Homo sapiens (Human),
K7EM75,K7EM75_HUMAN,Ubiquitin-conjugating enzyme E2 S,UBE2S,Homo sapiens (Human),
K7EPJ1,K7EPJ1_HUMAN,Ubiquitin-conjugating enzyme E2 S (Fragment),UBE2S,Homo sapiens (Human),
Q16763,UBE2S_HUMAN,Ubiquitin-conjugating enzyme E2 S (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme S) (E2-EPF) (Ubiquitin carrier protein S) (Ubiquitin-conjugating enzyme E2-24 kDa) (Ubiquitin-conjugating enzyme E2-EPF5) (Ubiquitin-protein ligase S),UBE2S E2EPF OK/SW-cl.73,Homo sapiens (Human),
Q6NXQ4,Q6NXQ4_HUMAN,UBE2S protein,UBE2S,Homo sapiens (Human),
Q92665,RT31_HUMAN,"28S ribosomal protein S31, mitochondrial (MRP-S31) (S31mt) (Imogen 38) (Mitochondrial small ribosomal subunit protein mS31)",MRPS31 IMOGN38,Homo sapiens (Human),
A0A0U1RRI0,A0A0U1RRI0_HUMAN,Tyrosine-protein phosphatase non-receptor type 11 (Fragment),PTPN11,Homo sapiens (Human),
A0A1W2PPU4,A0A1W2PPU4_HUMAN,Tyrosine-protein phosphatase non-receptor type 11,PTPN11,Homo sapiens (Human),
B3GUD3,B3GUD3_HUMAN,Protein tyrosine phosphatase-2 (Fragment),PTPN11,Homo sapiens (Human),
B3GUD4,B3GUD4_HUMAN,Protein tyrosine phosphatase-2 (Fragment),PTPN11,Homo sapiens (Human),
B3GUD5,B3GUD5_HUMAN,Protein tyrosine phosphatase-2,PTPN11,Homo sapiens (Human),
H0YF12,H0YF12_HUMAN,Tyrosine-protein phosphatase non-receptor type 11 (Fragment),PTPN11,Homo sapiens (Human),
Q06124,PTN11_HUMAN,Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3),PTPN11 PTP2C SHPTP2,Homo sapiens (Human),DB02779;
Q96I26,Q96I26_HUMAN,"PTPN11 protein (cDNA, FLJ92431)",PTPN11,Homo sapiens (Human),
A0A024R499,A0A024R499_HUMAN,"Insulin receptor substrate 1, isoform CRA_a",IRS1 hCG_18361,Homo sapiens (Human),
P35568,IRS1_HUMAN,Insulin receptor substrate 1 (IRS-1),IRS1,Homo sapiens (Human),DB08513;
W0KMC7,W0KMC7_HUMAN,Insulin receptor substrate 1 (Fragment),IRS1,Homo sapiens (Human),
W0KR29,W0KR29_HUMAN,Insulin receptor substrate 1 (Fragment),IRS1,Homo sapiens (Human),
W0KRH6,W0KRH6_HUMAN,Insulin receptor substrate 1 (Fragment),IRS1,Homo sapiens (Human),
A0A024R9B0,A0A024R9B0_HUMAN,"Cyclin E2, isoform CRA_e",CCNE2 hCG_15054,Homo sapiens (Human),
E5RHN2,E5RHN2_HUMAN,G1/S-specific cyclin-E2,CCNE2,Homo sapiens (Human),
E5RK20,E5RK20_HUMAN,G1/S-specific cyclin-E2,CCNE2,Homo sapiens (Human),
H0YBQ2,H0YBQ2_HUMAN,G1/S-specific cyclin-E2 (Fragment),CCNE2,Homo sapiens (Human),
I6L961,I6L961_HUMAN,CCNE2 protein,CCNE2,Homo sapiens (Human),
L8EBC7,L8EBC7_HUMAN,Alternative protein CCNE2,CCNE2,Homo sapiens (Human),
O96020,CCNE2_HUMAN,G1/S-specific cyclin-E2,CCNE2,Homo sapiens (Human),
Q8WUE3,Q8WUE3_HUMAN,"CCNE2 protein (Cyclin E2, isoform CRA_a) (G1/S-specific cyclin-E2)",CCNE2 hCG_15054,Homo sapiens (Human),
A0A024R889,A0A024R889_HUMAN,"Spectrin, alpha, non-erythrocytic 1 (Alpha-fodrin), isoform CRA_g",SPTAN1 hCG_41038,Homo sapiens (Human),
A0A0D9SF54,A0A0D9SF54_HUMAN,"Spectrin alpha chain, non-erythrocytic 1",SPTAN1,Homo sapiens (Human),
A0A0D9SFF6,A0A0D9SFF6_HUMAN,"Spectrin alpha chain, non-erythrocytic 1 (Fragment)",SPTAN1,Homo sapiens (Human),
A0A0D9SFH4,A0A0D9SFH4_HUMAN,"Spectrin alpha chain, non-erythrocytic 1 (Fragment)",SPTAN1,Homo sapiens (Human),
A0A0D9SGF6,A0A0D9SGF6_HUMAN,"Spectrin alpha chain, non-erythrocytic 1",SPTAN1,Homo sapiens (Human),
A0A1B0GTB7,A0A1B0GTB7_HUMAN,"Spectrin alpha chain, non-erythrocytic 1 (Fragment)",SPTAN1,Homo sapiens (Human),
A0A1B0GTD1,A0A1B0GTD1_HUMAN,"Spectrin alpha chain, non-erythrocytic 1 (Fragment)",SPTAN1,Homo sapiens (Human),
A0A1B0GUH3,A0A1B0GUH3_HUMAN,"Spectrin alpha chain, non-erythrocytic 1 (Fragment)",SPTAN1,Homo sapiens (Human),
A0A1B0GUN2,A0A1B0GUN2_HUMAN,"Spectrin alpha chain, non-erythrocytic 1 (Fragment)",SPTAN1,Homo sapiens (Human),
A0A1B0GV13,A0A1B0GV13_HUMAN,"Spectrin alpha chain, non-erythrocytic 1 (Fragment)",SPTAN1,Homo sapiens (Human),
A0A1B0GW19,A0A1B0GW19_HUMAN,"Spectrin alpha chain, non-erythrocytic 1 (Fragment)",SPTAN1,Homo sapiens (Human),
A0A1B0GWE2,A0A1B0GWE2_HUMAN,"Spectrin alpha chain, non-erythrocytic 1 (Fragment)",SPTAN1,Homo sapiens (Human),
Q13813,SPTN1_HUMAN,"Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)",SPTAN1 NEAS SPTA2,Homo sapiens (Human),
Q14917,Q14917_HUMAN,SPTAN1 protein (Fragment),SPTAN1,Homo sapiens (Human),
A0A087WUZ3,A0A087WUZ3_HUMAN,Spectrin beta chain,SPTBN1,Homo sapiens (Human),
B2ZZ89,B2ZZ89_HUMAN,Spectrin beta chain,SPTBN1 HEL102 hCG_17370,Homo sapiens (Human),
B4DIF8,B4DIF8_HUMAN,"Spectrin, beta, non-erythrocytic 1, isoform CRA_c (cDNA FLJ55845, highly similar to Spectrin beta chain, brain 1)",SPTBN1 hCG_17370,Homo sapiens (Human),
D6W5C0,D6W5C0_HUMAN,Spectrin beta chain,SPTBN1 hCG_17370,Homo sapiens (Human),
F8W6C1,F8W6C1_HUMAN,"Spectrin beta chain, non-erythrocytic 1 (Fragment)",SPTBN1,Homo sapiens (Human),
K9MS24,K9MS24_HUMAN,Spectrin beta chain,SPTBN1,Homo sapiens (Human),
L8ECA0,L8ECA0_HUMAN,Alternative protein SPTBN1,SPTBN1,Homo sapiens (Human),
Q01082,SPTB2_HUMAN,"Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)",SPTBN1 SPTB2,Homo sapiens (Human),DB01373;
Q53RC4,Q53RC4_HUMAN,Uncharacterized protein SPTBN1 (Fragment),SPTBN1,Homo sapiens (Human),
Q5TB21,Q5TB21_HUMAN,Anterior pharynx defective 1 homolog A (C. elegans) (Gamma-secretase subunit APH-1A) (Fragment),APH1A RP4-790G17.3-008,Homo sapiens (Human),
Q96BI3,APH1A_HUMAN,Gamma-secretase subunit APH-1A (APH-1a) (Aph-1alpha) (Presenilin-stabilization factor),APH1A PSF CGI-78 UNQ579/PRO1141,Homo sapiens (Human),DB05171;
A0A218KGQ4,A0A218KGQ4_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),
B1AP22,B1AP22_HUMAN,Presenilin (EC 3.4.23.-),PSEN2 hCG_15757,Homo sapiens (Human),
E5RFW4,E5RFW4_HUMAN,Presenilin (EC 3.4.23.-) (Fragment),PSEN2,Homo sapiens (Human),
E5RG63,E5RG63_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),
E5RHT1,E5RHT1_HUMAN,Presenilin-2 (Fragment),PSEN2,Homo sapiens (Human),
E5RJM5,E5RJM5_HUMAN,Presenilin-2 (Fragment),PSEN2,Homo sapiens (Human),
P49810,PSN2_HUMAN,Presenilin-2 (PS-2) (EC 3.4.23.-) (AD3LP) (AD5) (E5-1) (STM-2) [Cleaved into: Presenilin-2 NTF subunit; Presenilin-2 CTF subunit],PSEN2 AD4 PS2 PSNL2 STM2,Homo sapiens (Human),
E9PB61,E9PB61_HUMAN,THO complex subunit 4,ALYREF,Homo sapiens (Human),
Q86V81,THOC4_HUMAN,THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF),ALYREF ALY BEF THOC4,Homo sapiens (Human),
A0A024R281,A0A024R281_HUMAN,E3 ubiquitin-protein ligase (EC 2.3.2.26),NEDD4L hCG_23086,Homo sapiens (Human),
A0A024R2A4,A0A024R2A4_HUMAN,E3 ubiquitin-protein ligase (EC 2.3.2.26),NEDD4L hCG_23086,Homo sapiens (Human),
A0A087WVI6,A0A087WVI6_HUMAN,E3 ubiquitin-protein ligase NEDD4-like,NEDD4L,Homo sapiens (Human),
A0A140TA85,A0A140TA85_HUMAN,E3 ubiquitin-protein ligase NEDD4-like (Fragment),NEDD4L,Homo sapiens (Human),
A0A1B0GVY1,A0A1B0GVY1_HUMAN,E3 ubiquitin-protein ligase NEDD4-like,NEDD4L,Homo sapiens (Human),
K7EKL1,K7EKL1_HUMAN,E3 ubiquitin-protein ligase NEDD4-like,NEDD4L,Homo sapiens (Human),
K7EN51,K7EN51_HUMAN,E3 ubiquitin-protein ligase NEDD4-like (Fragment),NEDD4L,Homo sapiens (Human),
K7ENS6,K7ENS6_HUMAN,E3 ubiquitin-protein ligase NEDD4-like (Fragment),NEDD4L,Homo sapiens (Human),
K7EQC5,K7EQC5_HUMAN,E3 ubiquitin-protein ligase NEDD4-like (Fragment),NEDD4L,Homo sapiens (Human),
K7ERN1,K7ERN1_HUMAN,E3 ubiquitin-protein ligase NEDD4-like (Fragment),NEDD4L,Homo sapiens (Human),
Q5XLQ3,Q5XLQ3_HUMAN,"NEDD4-2 minus WW2,3 variant (Fragment)",NEDD4L,Homo sapiens (Human),
Q96PU5,NED4L_HUMAN,E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2),NEDD4L KIAA0439 NEDL3,Homo sapiens (Human),
A0A0A0MQU3,A0A0A0MQU3_HUMAN,Ubiquitin-conjugating enzyme E2 D2,UBE2D2,Homo sapiens (Human),
D6RFM0,D6RFM0_HUMAN,Ubiquitin-conjugating enzyme E2 D2 (Fragment),UBE2D2,Homo sapiens (Human),
P62837,UB2D2_HUMAN,Ubiquitin-conjugating enzyme E2 D2 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D2) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D2) (Ubiquitin carrier protein D2) (Ubiquitin-conjugating enzyme E2(17)KB 2) (Ubiquitin-conjugating enzyme E2-17 kDa 2) (Ubiquitin-protein ligase D2) (p53-regulated ubiquitin-conjugating enzyme 1),UBE2D2 PUBC1 UBC4 UBC5B UBCH4 UBCH5B,Homo sapiens (Human),
A0A087X0G5,A0A087X0G5_HUMAN,Mastermind-like protein 2,MAML2,Homo sapiens (Human),
B7ZL21,B7ZL21_HUMAN,MAML2 protein,MAML2,Homo sapiens (Human),
Q8IZL2,MAML2_HUMAN,Mastermind-like protein 2 (Mam-2),MAML2 KIAA1819,Homo sapiens (Human),
Q5SRE5,NU188_HUMAN,Nucleoporin NUP188 homolog (hNup188),NUP188 KIAA0169,Homo sapiens (Human),
Q9BS12,Q9BS12_HUMAN,NUP188 protein (Fragment),NUP188,Homo sapiens (Human),
H0Y539,H0Y539_HUMAN,SHC-transforming protein 1 (Fragment),SHC1,Homo sapiens (Human),
P29353,SHC1_HUMAN,SHC-transforming protein 1 (SHC-transforming protein 3) (SHC-transforming protein A) (Src homology 2 domain-containing-transforming protein C1) (SH2 domain protein C1),SHC1 SHC SHCA,Homo sapiens (Human),
Q5T181,Q5T181_HUMAN,SHC-transforming protein 1 (Fragment),SHC1,Homo sapiens (Human),
Q5T182,Q5T182_HUMAN,SHC-transforming protein 1 (Fragment),SHC1,Homo sapiens (Human),
Q5T187,Q5T187_HUMAN,SHC-transforming protein 1 (Fragment),SHC1,Homo sapiens (Human),
Q5T188,Q5T188_HUMAN,SHC-transforming protein 1 (Fragment),SHC1,Homo sapiens (Human),
X6R6D0,X6R6D0_HUMAN,SHC-transforming protein 1,SHC1,Homo sapiens (Human),
B0LPF3,B0LPF3_HUMAN,"Growth factor receptor-bound protein 2 (Growth factor receptor-bound protein 2, isoform CRA_a) (cDNA, FLJ96637, Homo sapiens growth factor receptor-bound protein 2 (GRB2), mRNA)",GRB2 hCG_27179,Homo sapiens (Human),
J3KT38,J3KT38_HUMAN,Growth factor receptor-bound protein 2 (Fragment),GRB2,Homo sapiens (Human),
J3QLF6,J3QLF6_HUMAN,Growth factor receptor-bound protein 2 (Fragment),GRB2,Homo sapiens (Human),
J3QRL5,J3QRL5_HUMAN,Growth factor receptor-bound protein 2,GRB2,Homo sapiens (Human),
P62993,GRB2_HUMAN,Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2),GRB2 ASH,Homo sapiens (Human),DB00061;
Q6ICN0,Q6ICN0_HUMAN,GRB2 protein (Fragment),GRB2,Homo sapiens (Human),
